id,cshapes_cntry,author_country,marker_name,marker_lat,marker_lon,marker_wkt
1180,Colombia,Colombia,Bogota,4.0864558914,-66.2069077425,POINT(-66.20690774245 4.08645589144873)
1190,Costa Rica,Costa Rica,San Jose,10.6468852938,-74.6901175148,POINT(-74.6901175147906 10.6468852937779)
1200,Cote d'Ivoire,Cote d'Ivoire,Yamoussoukro,7.6560891762,-4.7580164428,POINT(-4.75801644280365 7.65608917615024)
1210,Croatia,Croatia,Zagreb,43.5990034896,11.3927098545,POINT(11.392709854537 43.5990034895586)
1220,Cuba,Cuba,Havana,24.2591820462,-69.283236561,POINT(-69.2832365609911 24.2591820462229)
1230,Cyprus,Cyprus,Nicosia,35.4034037602,26.3820443378,POINT(26.3820443378073 35.4034037602201)
1240,Czech Republic,Czech Republic,Prague,46.3353856328,10.0487581232,POINT(10.0487581232047 46.3353856327577)
1250,Denmark,Denmark,Copenhagen,49.7962899053,7.7104374808,POINT(7.71043748082875 49.7962899052906)
1260,Ecuador,Ecuador,Quito,-0.4779518112,-70.339753529,POINT(-70.3397535289749 -0.477951811174109)
1270,Egypt,Egypt,Cairo,30.6245486022,24.9332177604,POINT(24.9332177603883 30.6245486021884)
1280,United Kingdom,England,London,47.4921714058,-0.0580696367,POINT(-0.0580696366992273 47.4921714058009)
1290,Estonia,Estonia,Tallinn,52.0148970067,15.1448987923,POINT(15.144898792303 52.01489700671)
1300,Ethiopia,Ethiopia,Addis Ababa,9.2083147045,34.9079808993,POINT(34.9079808992942 9.20831470450238)
1310,Fiji,Fiji,Suva,-19.4815413363,155.2887671925,POINT(155.288767192508 -19.4815413363167)
1320,Finland,Finland,Helsinki,52.7545575418,15.191509835,POINT(15.1915098350082 52.7545575417595)
1330,France,France,Paris,45.9154198567,1.8141405786,POINT(1.81414057862503 45.9154198567449)
1340,Georgia,Georgia,T'bilisi,40.6969427658,33.8514639313,POINT(33.8514639313104 40.6969427657845)
1350,Germany Federal Republic,Germany,Berlin,48.1908453255,8.6193528136,POINT(8.61935281357954 48.1908453255437)
1360,Germany,Germany,Berlin,48.1908453255,8.6193528136,POINT(8.61935281357954 48.1908453255437)
