id,cshapes_cntry,author_country,marker_name,marker_lat,marker_lon,
,Ecuador,Ecuador,Quito,-0.4779518112,-70.339753529,"-0.47795181117410895, -70.33975352897492"
,Egypt,Egypt,Cairo,30.6245486022,24.9332177604,"30.62454860218836, 24.933217760388313"
,United Kingdom,England,London,47.4921714058,-0.0580696367,"47.492171405800875, -0.05806963669922726"
,Estonia,Estonia,Tallinn,52.0148970067,15.1448987923,"52.01489700670995, 15.144898792303033"
,Ethiopia,Ethiopia,Addis Ababa,9.2083147045,34.9079808993,"9.208314704502378, 34.90798089929425"
,Fiji,Fiji,Suva,-19.4815413363,155.2887671925,"-19.481541336316734, 155.28876719250792"
,Finland,Finland,Helsinki,52.7545575418,15.191509835,"52.7545575417595, 15.191509835008212"
,France,France,Paris,45.9154198567,1.8141405786,"45.91541985674492, 1.814140578625034"
,Georgia,Georgia,T'bilisi,40.6969427658,33.8514639313,"40.69694276578445, 33.851463931310434"
,Germany Federal Republic,Germany,Berlin,48.1908453255,8.6193528136,
,Germany,Germany,Berlin,48.1908453255,8.6193528136,"48.19084532554365, 8.619352813579543"
,Ghana,Ghana,Accra,6.5305866327,-0.0192271011,"6.530586632655037, -0.019227101111580765"
,Greece,Greece,Athens,37.9450840341,18.3765977532,"37.945084034107204, 18.3765977531947"
,Guatemala,Guatemala,Guatemala City,15.9968234747,-79.7551841554,"15.99682347467965, -79.75518415541883"
,Haiti,Haiti,Port-au-Prince,19.9638177036,-62.8897552033,"19.963817703614655, -62.889755203265594"
,Honduras,Honduras,Tegucigalpa,15.6679767983,-76.8342254792,"15.667976798306023, -76.83422547922832"
,China,Hong Kong,Hong Kong,24.0607171808,97.6464443805,"24.060717180812755, 97.64644438045029"
,Hungary,Hungary,Budapest,44.7798518638,13.66888244,"44.779851863829045, 13.668882439972707"
,Iceland,Iceland,Reykjavik,54.4822398439,-11.4544695781,"54.48223984387184, -11.454469578112791"
,India,India,New Delhi,29.5355649058,63.8689754334,"29.535564905844858, 63.868975433438564"
,Indonesia,Indonesia,Jakarta,-6.9475723336,95.6887805868,"-6.947572333585893, 95.68878058683322"
,Iran,Iran,Tehran,36.4601413041,40.5323800524,"36.46014130411361, 40.532380052384504"
,Iraq,Iraq,Baghdad,33.8694771804,35.3119432694,"33.869477180369486, 35.3119432694057"
,Ireland,Ireland,Dublin,48.6368622157,-4.0938090843,"48.63686221569024, -4.093809084255009"
,Israel,Israel,Jerusalem,32.5042463144,28.4911940202,"32.50424631444837, 28.49119402021613"
,Italy,Italy,Rome,41.0962473068,9.1942223403,"41.09624730676494, 9.194222340276589"
,Jamaica,Jamaica,Kingston,19.481175235,-66.9293789044,"19.48117523501864, -66.92937890438014"
,Japan,Japan,Tokyo,36.0718002693,110.309110982,"36.071800269295466, 110.30911098202088"
,Jordan,Jordan,Amman,32.6351824404,29.4234148743,"32.63518244043091, 29.423414874319484"
,Kazakhstan,Kazakhstan,Astana,47.6284709525,46.3587603905," 47.62847095254078, 46.35876039053048"
,Kenya,Kenya,Nairobi,-1.3013072169,33.36981649,"-1.3013072168747575, 33.369816490023695"
,Kuwait,Kuwait,Kuwait,30.4874094619,39.2971874207,"30.487409461945692, 39.29718742069757"
,Kyrgyzstan,Kyrgyzstan,Bishkek,41.4815004176,55.3080805899,"41.48150041762469, 55.30808058992272"
,Laos,Laos,Vientiane,19.5031450505,89.5671969782,"19.503145050528254, 89.56719697822118"
,Latvia,Latvia,Riga,50.6954470033,14.8963065645,"50.695447003251026, 14.896306564542137"
,Lebanon,Lebanon,Beirut,34.3711115702,28.4911940202,"34.371111570156145, 28.49119402021613"
,Liberia,Liberia,Monrovia,7.0242952177,-9.4968057845,"7.0242952176714955, -9.496805784495727"
,Libya,Libya,Tripoli,33.4037976889,10.7090812282,"33.403797688857594, 10.709081228194544"
,Lithuania,Lithuania,Vilnius,49.4187313367,15.7663793617," 49.418731336706344, 15.7663793617053"
,Luxembourg,Luxembourg,Luxembourg,46.4264917576,4.1408084603,"46.42649175757492, 4.14080846032463"
,Macedonia,Macedonia,Skopje,40.7911135791,16.0305086037,"40.79111357910657, 16.030508603701215"
,Madagascar,Madagascar,Antananarivo,-20.9975630244,41.3247677784," -20.99756302442321, 41.324767778372376"
,Malawi,Malawi,Lilongwe,-15.2490537707,29.9516733583,"-15.249053770725306, 29.9516733583114"
,Malaysia,Malaysia,Kuala Lumpur,3.3422510469,91.5403977861,"3.342251046870896, 91.54039778607326"
,Malta,Malta,Valletta,36.124370376,11.4733081159,"36.124370375977946, 11.473308115881391"
,Mauritius,Mauritius,Port Louis,-21.7499140307,49.6992184511,"-21.749914030668574, 49.69921845106752"
,Mexico,Mexico,Mexico City,21.525699564,-86.933284732,"21.525699564020027, -86.93328473201471"
,Moldova,Moldova,Chisinau,44.5145621639,20.4274836322,"44.51456216385498, 20.427483632222078"
,Mongolia,Mongolia,Ulan Bator,45.3286416304,74.0457197574,"45.328641630359066, 74.04571975740022"
,Montenegro,Montenegro,Podgorica,41.3183375459,14.3059000236,"41.31833754592136, 14.305900023610029"
,Morocco,Morocco,Rabat,34.3582863642,-5.3328859695,"34.35828636423984, -5.3328859695007225"
,Mozambique,Mozambique,Maputo,-27.3157589373,27.3103809384,"-27.31575893733062, 27.31038093835188"
,Myanmar,Myanmar,Yangon,18.8280606158,83.7252796258,"18.82806061576111, 83.7252796258401"
,Nepal,Nepal,Kathmandu,28.96622241,71.2490571951,"28.966222409972815, 71.24905719509017"
,New Zealand,New Zealand,Wellington,-40.4434938996,131.9444033043,"-40.44349389957838, 131.94440330433633"
,Nicaragua,Nicaragua,Managua,13.2005541503,-76.0884487959,"13.20055415026735, -76.08844879594564"
,Nigeria,Nigeria,Abuja,9.9436942466,6.7238370769,"9.943694246573246, 6.723837076902712"
