id,featureid,cshapes_cntry_name,author_country_name,year,author_count,cumulative_count
42349,148,Cambodia,Cambodia,1969,0,1
42316,28,Costa Rica,Costa Rica,1969,1,1
42325,33,Panama,Panama,1969,0,1
42345,117,Romania,Romania,1969,0,1
42320,66,Sweden,Sweden,1969,0,1
42388,6,Argentina,Argentina,1970,1,6
42440,9,Chile,Chile,1970,1,4
42358,27,Colombia,Colombia,1970,1,2
42413,195,Ethiopia,Ethiopia,1970,0,1
42386,106,France,France,1970,1,4
42420,203,China,Hong Kong,1970,1,3
42431,227,India,India,1970,0,1
42425,211,Indonesia,Indonesia,1970,2,2
42393,129,Iran,Iran,1970,0,1
42362,37,Ireland,Ireland,1970,0,1
42429,223,Israel,Israel,1970,1,3
42396,143,Japan,Japan,1970,1,7
42370,42,Liberia,Liberia,1970,0,1
42356,16,Mexico,Mexico,1970,1,3
42385,102,Poland,Poland,1970,5,11
42416,210,Singapore,Singapore,1970,0,1
42397,147,South Korea,South Korea,1970,1,1
42378,122,Sri Lanka,Sri Lanka,1970,0,1
42418,202,Taiwan,Taiwan,1970,2,7
42435,159,Tanzania,Tanzania,1970,0,1
42438,59,Uganda,Uganda,1970,0,1
42434,238,United States,United States,1970,1,3
42427,206,Vietnam,Vietnam,1970,1,1
42423,191,Yugoslavia,Yugoslavia,1970,1,4
48744,126,Armenia,Armenia,2006,0,1
42466,105,Belgium,Belgium,1970,0,1
42491,148,Cambodia,Cambodia,1970,0,1
42469,41,Ghana,Ghana,1970,1,1
42442,101,Hungary,Hungary,1970,2,2
42467,33,Panama,Panama,1970,0,1
42443,12,Peru,Perú,1970,0,1
42490,146,Philippines,Philippines,1970,1,6
42451,44,Portugal,Portugal,1970,0,1
42487,117,Romania,Romania,1970,3,4
42462,66,Sweden,Sweden,1970,1,2
42444,97,Turkey,Turkey,1970,0,1
42530,6,Argentina,Argentina,1971,1,7
42500,27,Colombia,Colombia,1971,0,2
42559,195,Ethiopia,Ethiopia,1971,0,1
42528,106,France,France,1971,0,4
42556,188,Germany Federal Republic,Germany,1971,0,2
42565,203,China,Hong Kong,1971,0,3
42536,129,Iran,Iran,1971,0,1
42504,37,Ireland,Ireland,1971,0,1
42542,143,Japan,Japan,1971,1,8
42512,42,Liberia,Liberia,1971,0,1
42498,16,Mexico,Mexico,1971,0,3
42527,102,Poland,Poland,1971,1,12
42562,210,Singapore,Singapore,1971,0,1
42543,147,South Korea,South Korea,1971,1,2
42520,122,Sri Lanka,Sri Lanka,1971,0,1
42563,202,Taiwan,Taiwan,1971,3,10
42568,191,Yugoslavia,Yugoslavia,1971,0,4
42612,105,Belgium,Belgium,1971,0,1
42585,8,Brazil,Brazil,1971,1,6
42639,148,Cambodia,Cambodia,1971,0,1
42586,9,Chile,Chile,1971,1,5
42615,41,Ghana,Ghana,1971,0,1
42588,101,Hungary,Hungary,1971,1,3
42577,227,India,India,1971,1,2
42571,211,Indonesia,Indonesia,1971,1,3
42575,223,Israel,Israel,1971,1,4
42629,78,Niger,Nigeria,1971,1,2
42582,79,Nigeria,Nigeria,1971,1,2
42613,33,Panama,Panama,1971,0,1
42589,12,Peru,Perú,1971,0,1
42597,44,Portugal,Portugal,1971,0,1
42634,117,Romania,Romania,1971,2,6
42608,66,Sweden,Sweden,1971,0,2
42581,159,Tanzania,Tanzania,1971,0,1
42590,97,Turkey,Turkey,1971,0,1
42584,59,Uganda,Uganda,1971,0,1
42580,238,United States,United States,1971,0,3
42573,206,Vietnam,Vietnam,1971,0,1
42678,6,Argentina,Argentina,1972,1,8
